Name,City,Address,Lat,Lng
Salam P C O,Nasir Pur,"MUHALLAH WARD 2 NASERPUR TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
BHITTAAI M.Z-,Tando Allahyar,"1, Main Market Tando Allahyar, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Al Faisal M.Z,Chamber,"1, Chamber District Tando Allahyar, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Hari Lal M/Z,Tando Allahyar,"Pak singher Tando Allahyar, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Abu Bakar Janral Store,Tando Allahyar,"MEER MOHAMMAD SHAH TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Super J.S,Tando Allahyar,"Panjabi Para Tando Allahyar, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Afzal Communication,Tando Allahyar,"H NO 294 MUHALLAH AKRAM COLONY TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Hameed Communication,Sultanabad,"1, Sultanabad Tando Allahyar, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Aslam Communcation,Tando Allahyar,"Merhwa Road Tando Allhyar, Hyderabad, - Tando Allahyar, Hyderabad G.P.O.",,
HADI COMMUNICATION,Tando Allahyar,"NA, NASARPUR ROAD NEAR VAN STOP TANDO ALLAHYAR, Tando Allahyar, NA Tando Allahyar, Hyderabad G.P.O.",,
Raza Digital Zone,Tando Allahyar,"NA, Nasar Pur Road Tando Allahyar, Tando Allahyar, NA Tando Allahyar, Hyderabad G.P.O.",,
Suffian Communications,Tando Allahyar,"Stashom Road Tando Allahyar, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Malik Autos,Tando Allahyar,"NA, Chamber Road Tando Allahyar, Tando Allahyar, NA Tando Allahyar, Hyderabad G.P.O.",,
Ali Medical Store,Tando Allahyar,"na, Main Road Chamber, Tando Allahyar, na Tando Allahyar, Hyderabad G.P.O.",,
Hussain Madical Store,Bachal Pitafi,"1, Bachal Pitfi Sheikh Bherkio Tando Allahyar, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
salman ahmed communication,Tando Allahyar,"NA, STATION CHOWN TANDO ALLAHYAR, Tando Allahyar, NA Tando Allahyar, Hyderabad G.P.O.",,
FALAK G/S.,Tando Allahyar,"H NO B/485-86 MUHALLAH KHANZADA TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Qalander M.Z,Goth Sultan Abad,"GOTH SULTAN ABAD TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Ghulam Asghar Kryana,Tando Allahyar,"H NO 8/C MUHALLAH SUMRA COLONY TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Nand Lal Kiryana,Tando Allahyar,"H NO 117 PARA FAIAZ COLONY TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Daniyal Communication,Bukera Sharif,"Bukera Sharif Tando Allahyar, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Dua Communication,Tando Allahyar,Tando Allahyar,,
Rao Communication,Tando Allahyar,H NO 87 MUHALLAH MEER COLONY TANDO ALLAHYAR,,
Iqram Kiryana,Tando Allahyar,"MEER MADAD COLONY TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
M ARIF Kiryana,Tando Allahyar,"H NO 922 MUHALLAH KHATRI PARA TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Zulfiqar M.Z,Tando Allahyar,H No 29 Muhallah Akram Colony Tando Allahyar,,
Kashif Mobile Zone,Tando Allahyar,"H NO 1A-190-2/3 MUHALLAH KHANZADA TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Adnan Kiryana,Tando Allahyar,"Khanzada muhala Tando Allahyar, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
Narash Pco,Goth Haji Mohammad,"GOTH HAJI MOHAMMAD TANDO ALLAHYAR, Hyderabad, N/A Hyderabad, Hyderabad G.P.O.",,
arif shah mobile,Jaranwala,adda awagat Jaranwala,,
Nauman Mobile,Jaranwala,Masjid Bazar jaranwala,,
Naqeebi Pco,Khurianwala,Jaranwala Road,,
Hamza PCO,Jaranwala,Chak 128 Raksh wala chowk jaranwala,,
Al Rehman Karyana,Jaranwala,Chak No 67 Gb Main Bazar Daraihwal Jaranwala,,
BISMILLAH MOBILE,Khurianwala,"NA, 77-LOKKEY STOP KHURRIANWALA JARANWALA, Faisalabad, NA Faisalabad, Faisalabad",,
Hamraz Pco,Jaranwala,"Adda Chakomor,Lahore Road Jaranwalal",,
Shoukat Karyana store,Jaranwala,Chak 58 Main bazar Shahkot road jaranwala,,
zain pco,Jaranwala,"NA, fsd. Road jaranwala, Faisalabad, NA Faisalabad, Faisalabad",,
Shaheen Mobile,Faisalabad,Lahore Road Adda chukoo Moar Jaranwala,,
Umar mobile,Jaranwala,ada workshop faisalabad road jaranwala,,
Ahmad Raza Computer,Jaranwala,Near Mochi Bazar Nia bazar jaranwala,,
awais mobile shop,Jaranwala,"NA, 240 more saim nala,jaranwala, Faisalabad, NA Faisalabad, Faisalabad",,
Arshad Mobile,Jaranwala,Main Bazar Mandi Roadala Jaranwala,,
Prince Mobile,Jaranwala,Mohallah Anwar opposite Saim Nalla near 240 Moar Jaranwala,,
Bhai Waqas PCO,Jaranwala,Jaranwala Faisalabad,,
AHSAN MOBILE,Khurianwala,REKHI MARKET ; JARANWALA ROAD KHURRIANWALA,,
Bilal Mobile,Jaranwala,near Gouramy 127 Madni Park Main bazar jaranwala,,
Hamza Customer Service,Faisalabad,"na, Main Jaranwala Road Near Imam Jalvi Darbar, Dhudhi, Faisalabad, na Faisalabad, Faisalabad",,
MAKA ELC STORE,Faisalabad,"1, NEAR JALVIMARKIT JARANWALA ROAD, Faisalabad, na Faisalabad, Faisalabad",,
Awais Mobile 343,Jaranwala,"1, 240 more, Jaranwala, Faisalabad, na Faisalabad, Faisalabad",,
Sajid Mobile,Faisalabad,Jaranwala Faisalabad,,
Hameed Chemical,Jaranwala,"1, ATI chowk, Nyaya Bazar, Jaranwala, Faisalabad, NA Faisalabad, Faisalabad",,
Lasani Pan Shop,Jaranwala,Buchyana Jaranwala Faisalabad,,
Sufi Idrees K/S,Shahkot,"Jaranwala Road,Shahkot",,
MIAN CUSTOMER SERVICE CENTER,Faisalabad,"NA, JALVI MARKET, JARANWALA ROAD, FAISALABAD, Faisalabad, NA Faisalabad, Faisalabad",,
FAUJI KARYANA,Sangla Hill,WARD#6 JARANWALA ROAD SHAHKOT,,
irfan pco,Jaranwala,240 more lhr. Road ; jaranwala,,
imran photostate,Jaranwala,"NA, GTS NEAR PAKISTANI GATE Jaranwala, Faisalabad, NA Faisalabad, Faisalabad",,
BAHTTI INTER PRIZES,Jaranwala,MOCHI BAZAR NEAR GPO Jaranwala,,
awais karyana store,Jaranwala,"NA, mohallah anwarabad,jaranwala, Faisalabad, NA Faisalabad, Faisalabad",,
Umar General Store,Jaranwala,"01, Mohallaf Islam Pura, main Road, Jaranwala, Faisalabad, NA Faisalabad, Faisalabad",,
Qadri mob,Faisalabad,"01, Makuana jaranwala road tehsile & District Faisalab, Faisalabad, na Faisalabad, Faisalabad",,
ALI MOBILE,Faisalabad,JARANWALA ROAD JALVI MARKET OPPOSITE KAMRAN HOTEL FAISALABAD,,
Muhammadi Super Store,Jaranwala,chak 109 Rb Roaday Dakhana khas Tehsil jaranwala,,
Rehmat Karyana store,Jaranwala,Mohallah Ghousia park 240 Moar Jaranwala,,
Malik Karyana,Tando Allahyar,Sugar Mill Faisalabad Road Jaranwala,,
Jani Karyana store,Jaranwala,Muhammad ali park Jaranwala,,
Imran Mobile,Tando Allahyar,Masjid Bazar jaranwala,,
Sahil Karyana store,Tando Allahyar,Chak 65 Gb Makand pur dakanana khas Jaranwala,,
Haider karyana store,Tando Allahyar,Chak 65 Gb Makand pur dakanana khas Jaranwala,,
Sajad Karyana,Tando Allahyar,Ada awagut stop faisalabad road jaranwala,,
IMRAN K/S,Faisalabad,"CHAK 75RB LOKAY, JARANWALA ROAD, KHURRIANWALA",,
Buttar Karyana Store,Tando Allahyar,"Chak No 90 RB Chitti,P.O.Khas,Teh.Jaranwala,Dist. Faisalabad",,
786 PCO,Tando Allahyar,"near Sabrie Masjid, Fawara chowk 127 chak Jaranwala",,
Al rehman Electronics,Tando Allahyar,Nia Bazar Near Ufone frachise Jaranwala,,
Abudl Haq karyana,Jaranwala,Main Bazar Chak 65 Jaranwala,,
Hassan mobile,Jaranwala,nankana Moar Near Civil Hospital jaranwala,,
Azeem Mobile,Tando Allahyar,Masjid Bazar jaranwala,,
SAEED MOBILES,Kamalia,MANDI MORE KAMALIA,,
shakir mobiles,Toba Tek Singh,Kamalia road rajana,,
GHOSIA DRINK CORNER,Tando Allahyar,"DEHLI CHOWK RAILWAY ROAD KAMALIA, Kamalia, N/A Jhang, Jhang",,
DANISH KARYANA STORE,Tandlianwala,"BANGLAW CHOWK MAMUKANJAN, Kamalia, N/A Jhang, Jhang",,
UNI COMPUTER & MOBILES,Tando Allahyar,"MOHALLAH HUSSAIN SHAH KAMALIA, Kamalia, N/A Jhang, Jhang",,
NOMI MOBILES,Tando Allahyar,BUS STAND KAMALIA,,
MADINA SPORTS & MOBILES,Tando Allahyar,"IQBAL BAZAR KAMALIA, Kamalia, N/A Jhang, Jhang",,
HASEEB PCO &MOBILES,Tando Allahyar,"HASEEB PCO, Main bazar mamukanjan Tehsil Kamalia District Tob, Jhang, NA Jhang, Jhang",,
BABAR KARYANA STORE,Kamalia,MAIN ROAD ZEESHAN COLONY KAMALIA,,
FALAK PCO,Tando Allahyar,"JANDI WALA NEAR PURANA HABIB BANK KAMALIA, Kamalia, N/A Jhang, Jhang",,
#N/A,Tando Allahyar,"Kamalia Road Sindhilianwali Tehsil Kamalia Distr, Jhang, - Jhang, Jhang",,
SAIFI SUPER STORE,Tando Allahyar,GULBAHAR COLONY KAMALIA,,
Arshlan Supery Center,Tando Allahyar,T H Q Kamalia,,
Shabeer Kiryana Store & Mobiles,Tando Allahyar,"Shabeer Ki, 53/4 Tukara Dakhana Peer Salau Deen Kamalia, Jhang, NA Jhang, Jhang",,
NEW SHARE RUBANI PCO,Tando Allahyar,"NA, JHUGIAN DHANA SINGH PHOOLNAGAR, Kamalia, N/A Kasur, Kasur",,
#N/A,Pirmahal,"Waqar Mobi, Rajhana Road PirmahalSaleem Pur Tehsil Kamalia D, Jhang, NA Jhang, Jhang",,
#N/A,Tando Allahyar,"Abdul Hakeem Road Sindhilianwali Tehsil Kamalia, Jhang, - Jhang, Jhang",,
SARFRAZ COMMUNICATION,Tando Allahyar,"MOHALLA CHAH LAL WALA KAMALIA, Kamalia, N/A Jhang, Jhang",,
USMAN BOOK DEPU & MOBILES,Kamalia,RAILWAY ROAD GHALA MANDI KAMALIA,,
Ahsan Mobile,Tando Allahyar,Kamalia road Sandhelyanwali P/O Khas Tehsil Pir Mahal,,
Bhati Mobile,Tando Allahyar,Kamalia Road Sindhilianwali Tehsil Pir Mahal,,
